Listing title,eBay item ID,Current promoted listings status,Quantity available,Total impressions on eBay site,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total promoted listings impressions (applies to eBay site only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),Click-through rate = Page views from eBay site/Total impressions,Quantity sold,Sales conversion rate = Quantity sold/Total page views
1/10 RC Crawler Accessories Tow Chain Shackles Fuel Tank Extinguisher SCX10 TRX4,314381308970,Non-promoted,270,"2,798",42,20.00%,296,97.70%,"1,431",546,8.80%,483,37.60%,694,"2,104",56,9,0,47,0,2.00%,0,0.00%
5.8G Lollipop 3 2.5DBi Omni FPV Antenna RHCP SMA/RP-SMA for RC Drone,314027039456,Non-promoted,234,"4,575",36,63.60%,151,54.50%,272,"3,210",-9.40%,906,-18.00%,"3,279","1,296",32,13,0,18,1,0.70%,1,3.10%
4pcs RC Shock Absorber for 1/10 Axial SCX10 90046 TRX4 Upgrade,313988344690,Non-promoted,159,"2,091",16,-20.00%,18,-37.00%,185,"1,579",-27.80%,293,-64.80%,"1,631",460,12,2,0,9,1,0.50%,0,0.00%
XT60/XT30/XT90 T-Plug Connectors Male/Female Bullet Plugs (5/10 Pairs) For RCs,314439138989,Non-promoted,130,"1,358",8,-11.10%,51,63.90%,253,917,111.80%,129,279.40%,932,426,6,1,0,5,0,0.40%,0,0.00%
Emax ES08MA II 12g Analog Servo for 1/24 RC Car Axial SCX24 90081 Upgrade,314317077058,Non-promoted,120,435,0,-100.00%,10,-64.30%,107,261,-31.90%,57,-47.70%,265,170,1,0,0,0,1,0.00%,0,0.00%
Simonk Firmware Electronic Speed Controller ESC 10A-80A RC Heli/Quad/Multicopter,314317087893,Non-promoted,100,484,5,-78.30%,25,-25.00%,125,230,-37.80%,99,0.00%,237,247,3,1,0,1,1,0.40%,0,0.00%
INJS025 INJS035 Waterproof Digital Servos 25KG/35KG Torque RC Car Crawler Robot,314439165255,Non-promoted,80,317,2,-60.00%,30,-15.80%,70,133,95.60%,82,-8.90%,140,177,1,0,0,1,0,0.30%,0,0.00%
4PCS Hard RC Drift Tires 12mm Hex For 1:10 On-Road RC Cars HSP Yokomo MST Tamiya,314007415318,Non-promoted,70,"2,385",1,-90.90%,16,-37.00%,152,"1,966",-50.60%,250,-34.20%,"2,011",374,3,1,0,2,0,0.10%,0,0.00%
Turbo Racing 1:76 C64 C73 C72 C74 Drift RC Car with Gyro 1:76 RTR RC Car Kit,314317096856,Non-promoted,68,"70,449","1,192",110.20%,"2,096",206.40%,"4,589","47,251",101.10%,"15,321",219.80%,"49,468","20,981","1,014",269,21,255,469,0.70%,2,0.20%
CVD Drive Shafts Set For WLtoys 144001 144002 144010 124016 124017 124018 124019,314183072336,Non-promoted,67,"2,799",10,25.00%,83,232.10%,213,"1,783",-29.00%,710,-5.00%,"1,798","1,001",6,2,0,4,0,0.20%,0,0.00%
