Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Views (future),Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"403844062873",HTC Rechargeable Electric Men's Hair Trimmer/Clipper For Body Grooming E-Razor,,,"10","FIXED_PRICE","USD",32.98,,,32.98,"3","","2","","Aug-20-22 22:55:00 PDT","Jun-20-23 22:55:00 PDT","Clippers & Trimmers","67408","","","NEW","","US","7445045924929","",""
"403844087449",USB Rechargeable Water Flosser Portable Oral Water Jet Teeth Cleaner 300ML Tank,,,"10","FIXED_PRICE","USD",43.44,,,43.44,"0","","0","","Aug-20-22 23:23:47 PDT","Jun-20-23 23:23:47 PDT","Air & Water Flossers","30354","","","NEW","","US","","",""
"403844114814","7"" Professional Pet Grooming Kit Scissors Kit For Professional Pet Groomers",Color=Multi-Color;Purple;Gold;Silver;Black,,"50","FIXED_PRICE","USD",40.22,,,40.22,"2","","6","","Aug-21-22 00:00:23 PDT","Jun-21-23 00:00:23 PDT","Scissors & Fur Clippers","46304","","","NEW","","US","","",""
"403844114814","7"" Professional Pet Grooming Kit Scissors Kit For Professional Pet Groomers",Color=Multi-Color,,"10","FIXED_PRICE","USD",40.22,,,,"1",,,,"Aug-21-22 00:00:23 PDT","Jun-21-23 00:00:23 PDT","Scissors & Fur Clippers","46304","","","NEW","","US","","",""
"403844114814","7"" Professional Pet Grooming Kit Scissors Kit For Professional Pet Groomers",Color=Purple,,"10","FIXED_PRICE","USD",40.22,,,,"1",,,,"Aug-21-22 00:00:23 PDT","Jun-21-23 00:00:23 PDT","Scissors & Fur Clippers","46304","","","NEW","","US","","",""
"403844114814","7"" Professional Pet Grooming Kit Scissors Kit For Professional Pet Groomers",Color=Gold,,"10","FIXED_PRICE","USD",40.22,,,,"0",,,,"Aug-21-22 00:00:23 PDT","Jun-21-23 00:00:23 PDT","Scissors & Fur Clippers","46304","","","NEW","","US","","",""
"403844114814","7"" Professional Pet Grooming Kit Scissors Kit For Professional Pet Groomers",Color=Silver,,"10","FIXED_PRICE","USD",40.22,,,,"0",,,,"Aug-21-22 00:00:23 PDT","Jun-21-23 00:00:23 PDT","Scissors & Fur Clippers","46304","","","NEW","","US","","",""
"403844114814","7"" Professional Pet Grooming Kit Scissors Kit For Professional Pet Groomers",Color=Black,,"10","FIXED_PRICE","USD",40.22,,,,"0",,,,"Aug-21-22 00:00:23 PDT","Jun-21-23 00:00:23 PDT","Scissors & Fur Clippers","46304","","","NEW","","US","","",""
"403844136294",Waterproof Car Seat Cover Rear Back Seat Cover Protector For Kids Pets Travel,Color=Gray;Black|Size=143cm (56.3in) x 152cm (59.9in);153cm (60in) x 162cm (64in),,"40","FIXED_PRICE","USD",47.61,,,47.61,"0","","0","","Aug-21-22 00:28:31 PDT","Jun-21-23 00:28:31 PDT","Car Seat Covers","117426","","","NEW","","US","","",""
"403844136294",Waterproof Car Seat Cover Rear Back Seat Cover Protector For Kids Pets Travel,Color=Gray|Size=143cm (56.3in) x 152cm (59.9in),,"10","FIXED_PRICE","USD",47.61,,,,"0",,,,"Aug-21-22 00:28:31 PDT","Jun-21-23 00:28:31 PDT","Car Seat Covers","117426","","","NEW","","US","","",""
"403844136294",Waterproof Car Seat Cover Rear Back Seat Cover Protector For Kids Pets Travel,Color=Gray|Size=153cm (60in) x 162cm (64in),,"10","FIXED_PRICE","USD",52.5,,,,"0",,,,"Aug-21-22 00:28:31 PDT","Jun-21-23 00:28:31 PDT","Car Seat Covers","117426","","","NEW","","US","","",""
"403844136294",Waterproof Car Seat Cover Rear Back Seat Cover Protector For Kids Pets Travel,Color=Black|Size=143cm (56.3in) x 152cm (59.9in),,"10","FIXED_PRICE","USD",47.61,,,,"0",,,,"Aug-21-22 00:28:31 PDT","Jun-21-23 00:28:31 PDT","Car Seat Covers","117426","","","NEW","","US","","",""
"403844136294",Waterproof Car Seat Cover Rear Back Seat Cover Protector For Kids Pets Travel,Color=Black|Size=153cm (60in) x 162cm (64in),,"10","FIXED_PRICE","USD",52.5,,,,"0",,,,"Aug-21-22 00:28:31 PDT","Jun-21-23 00:28:31 PDT","Car Seat Covers","117426","","","NEW","","US","","",""
"403844676430",Portable Paperless Drip/Pourover Coffee Maker Perfect For Camping/Office/Home,Colors=Black;White,,"19","FIXED_PRICE","USD",30.98,,,30.98,"1","","1","","Aug-21-22 10:17:01 PDT","Jun-21-23 10:17:01 PDT","Coffee Makers","11652","","","NEW","","US","","",""
"403844676430",Portable Paperless Drip/Pourover Coffee Maker Perfect For Camping/Office/Home,Colors=Black,,"9","FIXED_PRICE","USD",30.98,,,,"1",,,,"Aug-21-22 10:17:01 PDT","Jun-21-23 10:17:01 PDT","Coffee Makers","11652","","","NEW","","US","","",""
