"﻿Some details are not available for inactive listings and campaigns."
""
"Start date","End date","Campaign name","Campaign ID","Campaign start date","Campaign end date","Item ID","Title","Price (Current or Last Price)","Quantity available","Listing start date","Listing end date","Promoted Listings Impressions (via eBay Placements)","Total Promoted Listings Clicks","Total Promoted Listings Sold quantity","Organic Sold Quantity","Total Quantity Sold","Promoted Listings Conversion rate (Promoted Listings Sold quantity/Promoted Listings Clicks)","Promoted Listings Contribution (Promoted Listings Sold quantity/Total Quantity Sold)","Total Promoted Listings Sales","Ad fees","Return on Ad spend (Sales/Ad fees)","Average cost per sale","Promoted Listings Clicks (via eBay placements)","Promoted Listings Clicks (via external placements)","Promoted Listings Sold Quantity (via eBay placements)","Promoted Listings Sold Quantity (via external placements)","Promoted Listings Sales (via eBay placements)","Promoted Listings Sales (via external placements)","Ad fees (via eBay placements)","Ad fees (via external placements)","Promoted Listings Conversion Rate (via eBay placements)","Promoted Listings Conversion Rate (via external placements)","Organic Clicks","Organic Impressions"
"Jun 05, 2023","Jun 06, 2023","Campaign May 30 2023, 20:43:16","13832752015","May 30, 2023","","404312809091","Widesea Mini Camping Table Foldable Mini  Portable Camping Table","$ 34.98","10","May 30, 2023","Jun 30, 2023","8","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","2"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403875520311","White Motorcycle LED Headlight & Fairing For KTM EXC SXF MX Dirt Bike Supermoto","$ 59.15","7","Sep 29, 2022","Jun 08, 2023","49","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","1","66"
"Jun 05, 2023","Jun 06, 2023","Campaign Jan 05 2023, 10:57:11","13452357015","Jan 05, 2023","","404092358068","Waterproof Ski & Snowboard Gloves - Thermal & Warm - Men & Women","$ 37.98","60","Jan 05, 2023","Jul 05, 2023","11","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","0"
"Jun 05, 2023","Jun 06, 2023","Campaign Mar 02 2023, 14:28:22","13582066015","Mar 02, 2023","","404185888925","Waterproof Reusable Diaper Bag - Large Mommy Handbag For On-The-Go Baby Care","$ 12.98","70","Apr 09, 2023","Jul 02, 2023","33","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","11"
"Jun 05, 2023","Jun 06, 2023","Campaign Feb 07 2023, 09:50:34","13524293015","Feb 07, 2023","","404118230999","Waterproof Double Layer Pet Litter Box Mat Washable Non-Slip","$ 15.98","300","Jan 21, 2023","Jun 20, 2023","5","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","6"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403844136294","Waterproof Car Seat Cover Rear Back Seat Cover Protector For Kids Pets Travel","$ 47.61","40","Aug 21, 2022","Jun 21, 2023","7","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","0"
"Jun 05, 2023","Jun 06, 2023","Campaign May 30 2023, 10:08:03","13831572015","May 30, 2023","","404311562166","USB Type C Video Converter Cable 4K USB 3 HDTV Adapter Type C To HDMI","$ 14.98","30","May 30, 2023","Jun 29, 2023","29","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","19"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403844087449","USB Rechargeable Water Flosser Portable Oral Water Jet Teeth Cleaner 300ML Tank","$ 43.44","10","Sep 29, 2022","Jun 20, 2023","6","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","0"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403857259309","Universal Motorcycle Rear View Mirrors CNC Bar End Handlebar Rear View Mirrors","$ 24.98","60","Sep 29, 2022","Jun 29, 2023","6","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","1","12"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403859808503","Universal Motorcycle Handlebar Grips For Motorcycles Motocross Dirt Bike E-Bike","$ 15.69","40","Sep 30, 2022","Jun 30, 2023","7","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","4"
"Jun 05, 2023","Jun 06, 2023","Campaign May 30 2023, 20:43:16","13832752015","May 30, 2023","","404312769502","Ultralight LED Headlamp Super Bright Hiking Camping Lights USB Rechargeable","$ 25.98","20","May 30, 2023","Jun 30, 2023","4","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","3"
"Jun 05, 2023","Jun 06, 2023","Campaign May 30 2023, 20:43:16","13832752015","May 30, 2023","","404312745021","Ultralight 2 Person Hammock Tear Resistance Hanging Bed Portable Hammock","$ 40.98","50","May 30, 2023","Jun 30, 2023","6","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","9"
"Jun 05, 2023","Jun 06, 2023","Campaign Apr 09 2023, 20:31:48","13680635015","Apr 09, 2023","","404238933018","Ulanzi  F38 Universal DSLR Camera Gimbal Arca Swiss Quick Release Plate","$ 19.98","70","Apr 09, 2023","Jun 09, 2023","358","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","2","112"
