Listing title,eBay item ID,Current promoted listings status,Quantity available,Total impressions on eBay site,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total promoted listings impressions (applies to eBay site only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),Click-through rate = Page views from eBay site/Total impressions,Quantity sold,Sales conversion rate = Quantity sold/Total page views
2PCS H4 H7 H1 H8 H9 H11 4300K 5000K 6500K 8000K 25000K 12V LED Car Headlight,403936320722,Promoted,600,"4,741",48,4.30%,681,13.00%,"1,166",996,12.70%,"1,850",8.10%,"1,139","3,602",90,7,0,80,3,1.80%,1,1.10%
Waterproof Double Layer Pet Litter Box Mat Washable Non-Slip,404118230999,Promoted,300,400,0,-,0,-,36,331,28.80%,33,6.50%,333,67,0,0,0,0,0,0.00%,0,-
2Pcs Fashion Toddler Baby Boys Girl Fall Clothes Sets Baby Girl Clothing Set,403941935205,Promoted,240,379,3,-,4,600.00%,25,289,175.20%,58,100.00%,294,85,1,1,0,0,0,0.30%,0,0.00%
MEISHENJIE 3 Pairs Natural 3D Mink False Eyelashes Soft Thick Long Extension,404185633275,Promoted,190,314,4,0.00%,4,-27.30%,40,225,97.40%,41,64.00%,238,76,1,0,0,1,0,0.30%,0,0.00%
Makeup Brushes Set Pro 5/12/13/14 Pcs for Powder Eye Shadow Blending Eyelash Lip,404185644535,Promoted,190,166,4,300.00%,7,266.70%,54,89,229.60%,12,-60.00%,99,67,0,0,0,0,0,0.00%,0,-
6000/8000K LED Headlight Kit H1 H4 H7 H8 H9 H11 9012 9005 9006 - Canbus Safe,404119935866,Promoted,180,773,17,21.40%,47,-25.60%,107,314,29.20%,288,-57.60%,333,440,12,1,0,3,8,0.50%,0,0.00%
"3""/5""/6"" Buffing Polishing T-Shape Sponge Pads For DA/RO/GA Car Buffer Polishers",404172599291,Promoted,180,"1,945",39,2.60%,170,6.60%,480,887,-37.00%,369,-22.30%,961,984,8,2,0,6,0,0.40%,0,0.00%
Magnetic Ski Goggles w/ Quick-Change Lens - Anti-Fog Snowboard Goggles - UV400,404092340209,Promoted,160,"1,431",1,-50.00%,2,-66.70%,45,"1,358",977.80%,25,-3.80%,"1,370",61,2,0,0,1,1,0.10%,0,0.00%
2PCS Rotatable PU Leather Stroller Hooks For Baby Stroller Bags and Accessories,404185868421,Promoted,150,101,4,-,0,0.00%,16,31,14.80%,50,2.00%,37,64,1,0,0,0,1,0.00%,0,0.00%
Integrally-Molded Ski Helmet - Lightweight - Safe Snowboard Helmet for All Ages,404092353893,Promoted,130,862,2,-60.00%,5,-12.50%,41,797,30.40%,17,-41.40%,812,50,1,0,0,1,0,0.10%,0,0.00%
Large Kitchen Drying Mat - Super Absorbent Dish Mat for Quick-Drying - Drain Pad,404172483623,Promoted,120,"3,562",13,-43.50%,134,-13.50%,386,"2,374",20.10%,655,2.00%,"2,399","1,163",9,2,0,7,0,0.30%,0,0.00%
MAANGE 3PCS Microfiber Makeup Remover Towel Reusable Cleaning Pad Face Skin Care,404185652177,Promoted,120,678,0,-100.00%,8,33.30%,54,583,111.20%,33,-57.70%,592,86,2,1,0,1,0,0.30%,0,0.00%
Silicone Kitchen Utensils Set Wooden Handles Spatula Set Cooking Utensils,404082995239,Promoted,110,484,3,200.00%,20,27.80%,166,227,-60.60%,68,-80.70%,239,245,1,0,0,1,0,0.20%,0,0.00%
12Pcs 3D Butterfly Wall Stickers Home Decor For Wedding Decoration Magnet Fridge,404089028543,Promoted,110,160,0,-,10,150.00%,37,98,18.10%,15,-21.10%,103,57,0,0,0,0,0,0.00%,0,-
Genuine Leather BMW Keychain Jet-Tag Design For E30 E34 E36 E39 E46 E60 E61 E84,404124421215,Promoted,100,"1,212",18,200.00%,35,47.20%,156,681,103.30%,322,-27.10%,745,467,10,2,0,3,5,0.40%,0,0.00%
"Black Kitchen Square Cabinet Handles Drawer Pull Knobs Stainless Steel 12mm 1/2""",403973567571,Promoted,90,"2,245",2,0.00%,131,-5.00%,540,479,-8.90%,"1,093",26.10%,496,"1,749",13,2,0,10,1,0.50%,3,23.10%
Long Dog Leash Pet Leash Outdoor Cat Dog Training Walking Rope 5M/10M/15M,404088985826,Promoted,90,599,0,-100.00%,3,0.00%,19,570,1865.50%,7,75.00%,574,25,1,0,0,0,1,0.00%,0,0.00%
"RGB 5050 Bluetooth LED Strip Lights Flexible Ribbon, DIY, DC 12V Indoor/Outdoor",404123366094,Promoted,90,110,3,50.00%,8,83.30%,60,31,34.80%,8,-77.10%,39,71,0,0,0,0,0,0.00%,0,-
Switch Joy-con Repair Kit Replacement Joystick Thumb Stick With Repair Tool,404189779576,Promoted,90,"1,091",12,9.10%,31,72.00%,184,782,352.00%,82,530.80%,824,267,5,3,0,2,0,0.50%,0,0.00%
SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,403881076710,Promoted,80,391,1,0.00%,8,-55.00%,48,286,-45.70%,48,-46.70%,288,103,0,0,0,0,0,0.00%,0,-
2pcs H8 H11 LED Bulbs - Super Bright 1200LM 6000K White for Car Fog Lights,404120076573,Promoted,80,49,0,-100.00%,2,0.00%,12,10,-54.50%,25,25.00%,12,37,0,0,0,0,0,0.00%,0,-
"10pcs T5 LED Bulbs W3W W1.2W for Car Interior Dashboard, Indicator, Wedge Lights",404120077681,Promoted,70,633,0,-100.00%,1,-75.00%,49,320,553.10%,263,93.40%,321,312,1,0,0,1,0,0.20%,0,0.00%
Waterproof Reusable Diaper Bag - Large Mommy Handbag For On-The-Go Baby Care,404185888925,Promoted,70,645,5,-77.30%,46,-26.10%,201,335,-7.50%,58,-46.30%,432,213,1,0,0,1,0,0.20%,0,0.00%
Replacement Flex Cables For Switch Joy-Con Repair Parts Button Flex Cable,404189774099,Promoted,70,511,2,100.00%,17,0.00%,210,267,175.30%,15,36.40%,300,211,1,0,0,1,0,0.20%,0,0.00%
Ulanzi  F38 Universal DSLR Camera Gimbal Arca Swiss Quick Release Plate,404238933018,Promoted,70,"3,739",125,-0.80%,172,-19.70%,840,"2,112",-12.00%,490,-21.60%,"2,518","1,221",8,5,0,2,1,0.20%,0,0.00%
Universal Motorcycle Rear View Mirrors CNC Bar End Handlebar Rear View Mirrors,403857259309,Promoted,60,497,4,-,11,-21.10%,132,189,-37.80%,161,80.90%,209,288,4,1,0,3,0,0.80%,1,25.00%
1000ml Portable Travel Collapsible Foldable Pet Dog Bowl for Food & Water Bowls,403881076711,Promoted,60,188,0,-100.00%,0,-100.00%,37,85,25.00%,66,-13.20%,89,99,0,0,0,0,0,0.00%,0,-
Waterproof Ski & Snowboard Gloves - Thermal & Warm - Men & Women,404092358068,Promoted,60,216,0,-,1,-,9,203,28.50%,3,-,203,13,0,0,0,0,0,0.00%,0,-
ROCKBROS Smart Bike Tail Light Auto Brake Sensing Waterproof USB Rechargeable,404123048081,Promoted,60,722,4,-20.00%,4,-60.00%,74,627,223.20%,13,-75.50%,635,87,0,0,0,0,0,0.00%,0,-
Short Stunt Clutch Lever for CBR F2 F3 F4 F4I 650F 1000RR CRF 250R 450R CR 125R,404184727523,Promoted,60,461,10,100.00%,13,43.80%,92,318,42.60%,28,-22.20%,382,79,1,1,0,0,0,0.20%,0,0.00%
ESP-32S ESP32 WIFI Dual Core CPU Development Board BT Module Ultra-Low Power,404311547933,Promoted,60,56,1,100.00%,9,-,26,13,100.00%,7,100.00%,20,36,0,0,0,0,0,0.00%,0,-
Naturehike Mongar 2 Person Backpacking Tent Ultralight Travel Camping Tent,404312762876,Promoted,60,64,2,100.00%,11,-,32,12,100.00%,7,100.00%,19,45,0,0,0,0,0,0.00%,0,-
"7"" Professional Pet Grooming Kit Scissors Kit For Professional Pet Groomers",403844114814,Promoted,50,971,9,350.00%,23,45.50%,53,679,70.60%,207,41.80%,697,274,8,4,0,4,0,0.80%,0,0.00%
30L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel Bag,403848501342,Promoted,50,"6,465",5,150.00%,9,40.00%,97,"6,136",1726.20%,218,419.00%,"6,154",311,1,0,0,1,0,0.00%,0,0.00%
2PCS 6000K H8 H11 H16(JP) 9005/HB3 9006/HB4 LED Fog Light Day Time Running Light,403936301312,Promoted,50,124,0,-,0,-,9,98,40.00%,17,-55.30%,98,26,0,0,0,0,0,0.00%,0,-
Coffee Filter Disposable Coffer Filters Natural Cone U - Shaped Coffee Filter,404089038993,Promoted,50,196,2,-50.00%,2,-42.90%,29,148,49.50%,15,-48.30%,153,43,0,0,0,0,0,0.00%,0,-
2pcs H8 H11 H16 9005 HB3 LED Bulbs - Super Bright Car Fog Lights 12V 6000K White,404120074287,Promoted,50,109,0,-,0,-,15,74,196.00%,20,-35.50%,74,35,2,0,0,0,2,0.00%,0,0.00%
Matte Black Basin Faucet Deck Mounted Single Lever Waterfall Bathroom Tap Mixer,404189136360,Promoted,50,"1,384",0,-100.00%,15,-55.90%,178,"1,001",-56.80%,190,-74.10%,"1,008",376,3,0,0,3,0,0.20%,0,0.00%
T-aped Tripod Stand Background Backdrop Photography Adjustable Support System Ph,404207134526,Promoted,50,336,2,-50.00%,6,-42.90%,36,252,13.50%,40,-33.30%,266,70,0,0,0,0,0,0.00%,0,-
Ultralight 2 Person Hammock Tear Resistance Hanging Bed Portable Hammock,404312745021,Promoted,50,16,0,100.00%,3,-,7,3,100.00%,3,100.00%,3,13,0,0,0,0,0,0.00%,0,-
Camping Hammer Stainless Steel Outdoor Tent Peg Stake Mallet with Stake Puller,404312807056,Promoted,50,23,1,100.00%,1,-,9,7,100.00%,5,100.00%,8,15,0,0,0,0,0,0.00%,0,-
Waterproof Car Seat Cover Rear Back Seat Cover Protector For Kids Pets Travel,403844136294,Promoted,40,158,0,-,0,-,21,123,119.60%,14,40.00%,125,33,1,0,0,1,0,0.60%,0,0.00%
Universal Motorcycle Handlebar Grips For Motorcycles Motocross Dirt Bike E-Bike,403859808503,Promoted,40,294,1,0.00%,6,16.70%,48,180,-41.20%,59,-13.20%,191,103,0,0,0,0,0,0.00%,0,-
6000K White COB Motorcycle LED Headlight H1 H4 H7 H11 Universal Motorcycle ATV,403984120203,Promoted,40,97,0,-,3,-25.00%,26,29,-56.10%,39,-54.10%,30,67,3,0,0,0,3,0.00%,0,0.00%
